ticker,date,close
F,2021-12-10,21.45
F,2021-12-09,19.57
F,2021-12-08,19.81
F,2021-12-07,19.96
F,2021-12-06,19.22
F,2021-12-03,19.14
F,2021-12-02,19.87
F,2021-12-01,19.58
F,2021-11-30,19.19
F,2021-11-29,19.67
F,2021-11-26,19.75
F,2021-11-24,20.25
F,2021-11-23,20.2
F,2021-11-22,20.48
F,2021-11-19,19.39
F,2021-11-18,19.56
F,2021-11-17,19.96
F,2021-11-16,19.79
F,2021-11-15,19.86
F,2021-11-12,19.5
F,2021-11-11,19.55
F,2021-11-10,19.36
F,2021-11-09,20.12
F,2021-11-08,20.15
F,2021-11-05,19.29
F,2021-11-04,19.42
F,2021-11-03,18.63
F,2021-11-02,18.01
F,2021-11-01,17.95
F,2021-10-29,17.08
F,2021-10-28,16.86
F,2021-10-27,15.51
F,2021-10-26,15.94
F,2021-10-25,16
F,2021-10-22,16.28
F,2021-10-21,16.55
F,2021-10-20,16.04
F,2021-10-19,15.42
F,2021-10-18,15.56
F,2021-10-15,15.7
F,2021-10-14,15.45
F,2021-10-13,15.51
F,2021-10-12,15.64
F,2021-10-11,15.09
F,2021-10-08,15.12
F,2021-10-07,14.89
F,2021-10-06,14.12
F,2021-10-05,14.29
F,2021-10-04,14.35
F,2021-10-01,14.16
F,2021-09-30,14.16
F,2021-09-29,14.3
F,2021-09-28,14.31
F,2021-09-27,14.16
F,2021-09-24,13.78
F,2021-09-23,13.71
F,2021-09-22,13.23
F,2021-09-21,12.77
F,2021-09-20,12.82
F,2021-09-17,13.55
F,2021-09-16,13.4
F,2021-09-15,13.22
F,2021-09-14,12.86
F,2021-09-13,12.99
F,2021-09-10,12.68
F,2021-09-09,12.76
F,2021-09-08,13.03
F,2021-09-07,12.95
F,2021-09-03,12.89
F,2021-09-02,13.01
F,2021-09-01,13.11
F,2021-08-31,13.03
F,2021-08-30,13.05
F,2021-08-27,13.31
F,2021-08-26,12.9
F,2021-08-25,13.17
F,2021-08-24,13.08
F,2021-08-23,12.73
F,2021-08-20,12.57
F,2021-08-19,12.67
F,2021-08-18,13
F,2021-08-17,12.99
F,2021-08-16,13.46
F,2021-08-13,13.59
F,2021-08-12,13.9
F,2021-08-11,13.93
F,2021-08-10,13.82
F,2021-08-09,13.75
F,2021-08-06,13.8
F,2021-08-05,13.71
F,2021-08-04,13.32
F,2021-08-03,14.02
F,2021-08-02,13.91
F,2021-07-30,13.95
F,2021-07-29,14.39
F,2021-07-28,13.86
F,2021-07-27,13.79
F,2021-07-26,14.03
F,2021-07-23,13.82
F,2021-07-22,13.91
F,2021-07-21,14.19
F,2021-07-20,13.91
F,2021-07-19,13.28
F,2021-07-16,13.61
F,2021-07-15,14.01
F,2021-07-14,14.25
F,2021-07-13,14.42
F,2021-07-12,14.61
F,2021-07-09,14.48
F,2021-07-08,14.06
F,2021-07-07,14.23
F,2021-07-06,14.5
F,2021-07-02,14.93
F,2021-07-01,14.91
F,2021-06-30,14.86
F,2021-06-29,15.01
F,2021-06-28,14.96
F,2021-06-25,15.19
F,2021-06-24,15.26
F,2021-06-23,15.42
F,2021-06-22,14.91
F,2021-06-21,14.78
F,2021-06-18,14.52
F,2021-06-17,14.77
F,2021-06-16,15.02
F,2021-06-15,15
F,2021-06-14,14.87
F,2021-06-11,15.28
F,2021-06-10,15.11
F,2021-06-09,15.48
F,2021-06-08,15.63
F,2021-06-07,15.88
F,2021-06-04,15.97
F,2021-06-03,15.99
F,2021-06-02,14.91
F,2021-06-01,14.81
F,2021-05-28,14.53
F,2021-05-27,14.88
F,2021-05-26,13.9
F,2021-05-25,12.81
F,2021-05-24,13.06
F,2021-05-21,13.33
F,2021-05-20,12.49
F,2021-05-19,12.11
F,2021-05-18,12.14
F,2021-05-17,12.15
F,2021-05-14,11.84
F,2021-05-13,11.55
F,2021-05-12,11.33
F,2021-05-11,11.58
F,2021-05-10,11.71
F,2021-05-07,11.82
F,2021-05-06,11.74
F,2021-05-05,11.61
F,2021-05-04,11.41
F,2021-05-03,11.63
F,2021-04-30,11.54
F,2021-04-29,11.26
F,2021-04-28,12.43
F,2021-04-27,12.49
F,2021-04-26,12.27
F,2021-04-23,12.22
F,2021-04-22,11.94
F,2021-04-21,11.73
F,2021-04-20,11.45
F,2021-04-19,12.11
F,2021-04-16,12.23
F,2021-04-15,12.24
F,2021-04-14,12.24
F,2021-04-13,12.2
F,2021-04-12,12.38
F,2021-04-09,12.51
F,2021-04-08,12.51
F,2021-04-07,12.73
F,2021-04-06,12.92
F,2021-04-05,12.7
F,2021-04-01,12.17
F,2021-03-31,12.25
F,2021-03-30,12.46
F,2021-03-29,12.15
F,2021-03-26,12.3
F,2021-03-25,12.32
F,2021-03-24,12.14
F,2021-03-23,12.21
F,2021-03-22,12.85
F,2021-03-19,12.83
F,2021-03-18,12.49
F,2021-03-17,12.69
F,2021-03-16,12.49
F,2021-03-15,13.2
F,2021-03-12,13.37
